tweet_id,retweet_count,favorite_count 
803692223237865472,8171,0
803638050916102144,4537,11758
803380650405482500,2037,8303
803321560782307329,5840,0
803276597545603072,2711,10734
802952499103731712,2206,9671
802624713319034886,3213,0
802600418706604034,1618,7620
802572683846291456,2747,9567
802323869084381190,6402,17386
802265048156610565,1497,7064
802239329049477120,2859,9719
802185808107208704,291,0
801958328846974976,1876,8260
801854953262350336,258,1882
801538201127157760,2255,8781
801285448605831168,917,6487
801167903437357056,6538,26258
801127390143516673,4366,0
801115127852503040,2293,8654
800859414831898624,106,739
800855607700029440,1788,0
800751577355128832,3045,11242
800513324630806528,3304,14073
800459316964663297,2374,10132
800443802682937345,4743,0
800388270626521089,3085,11940
800188575492947969,4331,0
800141422401830912,2820,16392
800018252395122689,14473,30421
799774291445383169,5149,0
799757965289017345,2376,9013
799422933579902976,2107,8620
799308762079035393,6071,0
799297110730567681,3044,10619
799063482566066176,2707,8667
798933969379225600,4920,14104
798925684722855936,1574,7976
798705661114773508,7254,0
798701998996647937,8571,0
798697898615730177,7154,0
798694562394996736,5453,0
798686750113755136,2552,0
798682547630837760,5184,0
798673117451325440,6088,0
798665375516884993,4278,0
798644042770751489,2032,0
798628517273620480,2161,0
798585098161549313,6268,0
798576900688019456,6441,0
798340744599797760,3690,0
798209839306514432,2810,11125
797971864723324932,3449,12485
797545162159308800,5337,15540
797236660651966464,7287,21407
797165961484890113,29,248
796904159865868288,9753,0
796865951799083009,2089,8230
796759840936919040,3358,12729
796563435802726400,8019,0
796484825502875648,1939,8122
796387464403357696,4580,11782
796177847564038144,15745,0
796149749086875649,15745,34682
796125600683540480,1960,5290
796116448414461957,2656,9743
796080075804475393,2549,9065
796031486298386433,4044,11577
795464331001561088,26207,53391
795400264262053889,3153,10825
795076730285391872,5969,17402
794983741416415232,3698,0
794926597468000259,2534,11027
794355576146903043,11299,0
794332329137291264,2914,10255
794205286408003585,3639,9857
793962221541933056,5381,18032
793845145112371200,2064,9863
793614319594401792,3426,0
793601777308463104,1798,8535
793500921481273345,2617,11464
793286476301799424,10120,26372
793271401113350145,2599,9269
793256262322548741,9169,21434
793241302385262592,3604,11265
793226087023144960,3142,10550
793210959003287553,3093,9573
793195938047070209,6183,16369
793180763617361921,2185,7420
793165685325201412,3056,10081
793150605191548928,1874,6617
793135492858580992,2741,6943
793120401413079041,4298,13603
792913359805018113,4415,15376
792883833364439040,4697,12126
792773781206999040,1847,7869
792394556390137856,4706,14418
792050063153438720,1978,7696
791821351946420224,23092,0
791784077045166082,10578,0
791780927877898241,4185,0
791774931465953280,24410,48411
791672322847637504,3426,12607
791406955684368384,4519,14056
791312159183634433,2794,9414
791026214425268224,4522,0
790987426131050500,2349,10601
790946055508652032,5153,17789
790723298204217344,2546,0
790698755171364864,2095,8778
790581949425475584,7891,22148
790337589677002753,2051,8373
790277117346975746,3496,13436
790227638568808452,3926,0
789986466051088384,2546,9911
789960241177853952,4549,0
789903600034189313,4528,11139
789628658055020548,1957,8045
789599242079838210,2126,7241
789530877013393408,3698,12606
789314372632018944,2527,9225
789280767834746880,5424,0
789268448748703744,2827,9766
789137962068021249,3067,10389
788908386943430656,13586,29359
788765914992902144,11299,29381
788552643979468800,7907,0
788412144018661376,5813,16704
788178268662984705,2322,7744
788150585577050112,1430,6584
788070120937619456,3753,0
788039637453406209,1451,6573
787810552592695296,3354,9291
787717603741622272,3049,10934
787397959788929025,3108,11614
787322443945877504,1912,8341
787111942498508800,7365,0
786963064373534720,8754,28456
786729988674449408,2648,0
786709082849828864,6673,19459
786664955043049472,2808,11398
786595970293370880,3396,10075
786363235746385920,3839,11668
786286427768250368,3137,8521
786233965241827333,5236,16375
786051337297522688,169,1541
786036967502913536,7746,0
785927819176054784,3467,12148
785872687017132033,2001,7142
785639753186217984,2429,8347
785533386513321988,2192,9740
785515384317313025,1374,6516
785264754247995392,1790,7761
785170936622350336,5327,12929
784826020293709826,3539,10836
